timestamp,temperature,humidity,wind_speed,pressure,solar_irradiance
1672511400000,18.32,37.05,1.83,101.28,4.3966
1672597800000,18.14,38.78,1.8,101.27,4.5079
1672684200000,17.74,41.05,2.17,101.29,4.4791
1672770600000,16.67,35.14,3.31,101.31,4.6553
1672857000000,17.09,42.78,3.23,101.32,3.9542
1672943400000,20.23,51.66,2.6,101.33,3.2311
1673029800000,22.14,55.25,2.0,101.28,3.8222
1673116200000,21.77,47.69,1.57,101.19,4.4345
1673202600000,21.05,40.88,1.48,101.3,4.597
1673289000000,21.9,43.31,1.27,101.19,4.5677
1673375400000,21.78,37.47,1.63,100.89,4.6877
1673461800000,21.56,60.88,1.96,100.65,4.2295
1673548200000,18.21,34.5,1.6,100.85,4.8221
1673634600000,16.29,28.65,2.01,101.05,4.9711
1673721000000,15.97,25.0,2.16,100.93,5.2625
1673807400000,15.95,22.21,1.8,100.9,5.2296
1673893800000,16.73,21.75,2.02,100.95,4.9615
1673980200000,18.16,22.61,2.21,101.02,5.0182
1674066600000,20.01,27.25,2.02,100.88,4.8859
1674153000000,20.46,29.68,1.61,100.8,4.8458
1674239400000,18.68,29.0,1.94,100.93,4.7328
1674325800000,17.56,33.1,2.07,100.91,4.8334
1674412200000,16.66,38.44,2.03,100.85,4.3819
1674498600000,16.31,42.98,1.78,100.85,4.1059
1674585000000,16.75,30.04,2.4,100.96,4.7983
1674671400000,17.13,21.11,2.68,101.04,4.5134
1674757800000,19.14,30.54,3.08,100.99,4.1146
1674844200000,22.42,40.44,2.13,100.67,4.1177
1674930600000,22.56,56.35,1.56,100.45,2.8363
1675017000000,20.66,47.03,1.55,100.91,4.207
1675103400000,19.52,40.13,3.04,101.16,4.9654
1675189800000,19.51,35.67,2.95,101.15,5.5951
1675276200000,20.09,26.62,2.45,101.06,5.5596
1675362600000,20.83,25.67,2.07,101.01,5.6935
1675449000000,22.06,22.96,1.84,100.83,5.7235
1675535400000,22.52,22.39,1.62,100.69,5.6616
1675621800000,22.36,30.64,1.67,100.7,5.4504
1675708200000,22.83,32.1,1.58,100.72,5.6834
1675794600000,23.14,20.11,1.64,100.81,5.7974
1675881000000,24.48,19.61,1.5,100.73,5.6906
1675967400000,23.29,37.31,1.87,100.75,5.7962
1676053800000,22.6,50.87,1.8,100.92,5.5762
1676140200000,23.62,27.22,2.21,101.12,5.8006
1676226600000,22.04,14.54,2.0,101.16,6.1462
1676313000000,23.73,12.92,1.63,100.99,6.0276
1676399400000,25.81,16.91,1.87,100.8,6.0842
1676485800000,26.22,18.48,2.07,100.82,6.1085
1676572200000,26.53,16.1,1.77,100.86,6.1963
1676658600000,26.74,18.09,1.71,100.82,6.3158
1676745000000,27.78,15.05,1.35,100.77,6.2839
1676831400000,26.98,12.8,1.52,100.67,6.1778
1676917800000,24.37,38.82,1.82,100.74,6.1212
1677004200000,25.61,42.27,1.68,100.71,5.7226
1677090600000,25.62,38.37,1.65,100.74,6.139
1677177000000,25.97,21.77,1.72,100.85,6.2359
1677263400000,25.76,21.76,1.41,101.0,6.2074
1677349800000,26.02,15.09,1.31,101.06,6.4495
1677436200000,26.56,15.69,1.43,100.97,6.3674
1677522600000,27.48,17.15,1.1,100.9,6.1886
1677609000000,28.49,17.99,1.09,100.98,5.8279
1677695400000,29.18,18.36,1.11,101.07,5.7406
1677781800000,29.74,19.83,1.51,101.08,5.5956
1677868200000,30.1,20.75,1.35,101.06,5.0143
1677954600000,29.93,24.03,1.76,101.06,5.3119
1678041000000,30.0,24.5,1.38,100.86,5.4758
1678127400000,29.3,29.45,1.01,100.87,5.8058
1678213800000,27.99,26.98,1.43,100.92,6.0996
1678300200000,27.19,26.87,1.81,100.96,6.4404
1678386600000,26.71,23.47,1.72,100.9,6.6312
1678473000000,28.38,21.59,1.28,100.79,6.3946
1678559400000,28.89,20.12,1.42,100.75,5.2414
1678645800000,30.45,18.66,1.64,100.61,4.7897
1678732200000,29.92,21.39,1.26,100.43,5.7535
1678818600000,28.54,28.33,1.91,100.32,2.5812
1678905000000,28.4,34.5,1.4,100.39,5.4763
1678991400000,28.3,38.06,1.87,100.44,5.0827
1679077800000,28.04,41.71,1.51,100.34,5.4098
1679164200000,27.5,44.42,1.41,100.24,6.1267
1679250600000,25.96,52.99,2.59,100.17,6.047
1679337000000,26.38,51.22,1.8,100.31,6.109
1679423400000,27.11,47.36,1.6,100.4,6.0091
1679509800000,27.14,48.19,2.06,100.38,6.3487
1679596200000,26.21,52.92,3.24,100.42,6.8316
1679682600000,25.02,49.87,1.8,100.61,6.9576
1679769000000,26.48,40.69,1.9,100.56,6.8172
1679855400000,27.4,36.04,1.79,100.47,6.4896
1679941800000,27.67,31.39,1.63,100.43,6.6679
1680028200000,28.96,35.09,1.91,100.45,5.2248
1680114600000,28.31,42.53,2.75,100.35,5.0297
1680201000000,27.33,45.9,2.37,100.33,6.4474
1680287400000,28.8,43.24,2.28,100.4,6.9206
1680373800000,28.75,40.4,1.77,100.37,7.0454
1680460200000,28.94,39.18,2.7,100.29,7.0798
1680546600000,29.09,45.68,2.01,100.43,6.8986
1680633000000,30.2,33.32,1.72,100.38,6.8064
1680719400000,30.03,28.69,2.06,100.47,7.1033
1680805800000,30.42,21.63,1.76,100.64,4.9704
1680892200000,32.18,19.84,1.36,100.72,7.1062
1680978600000,31.93,21.36,1.38,100.73,7.0046
1681065000000,32.66,23.63,1.32,100.55,6.9295
1681151400000,33.26,23.49,1.8,100.56,6.8738
1681237800000,32.93,26.1,2.61,100.56,6.9929
1681324200000,32.23,28.38,2.08,100.5,5.3263
1681410600000,32.48,28.91,2.36,100.43,6.7757
1681497000000,32.12,33.36,2.28,100.38,7.3618
1681583400000,31.97,30.05,2.22,100.3,7.5139
1681669800000,32.78,30.46,2.07,100.32,7.2
1681756200000,33.83,26.31,2.49,100.44,6.8302
1681842600000,33.18,25.18,2.73,100.2,6.9629
1681929000000,31.36,30.32,2.93,99.96,6.5952
1682015400000,31.21,35.08,2.29,99.95,7.4354
